1440609336120,2,000.0027925668
1440609336122,2,000.0017895119
1440609336123,2,000.0015660900
1440609336125,2,000.0025356233
1440609336132,2,000.0015660900
1440609336135,2,000.0031491567
1440609336139,2,000.0016571073
1440609336143,2,000.0003718890
1440609336147,2,000.0027276126
1440609336151,2,000.0003718890
1440609336155,2,000.0014583124
1440609336159,2,000.0012277401
1440609336164,2,000.0017895119
1440609336168,2,000.0019549122
1440609336173,2,000.0008704200
1440609336178,2,000.0011594672
1440609336183,2,000.0024306059
1440609336188,2,000.0024373019
1440609336193,2,000.0003718890
1440609336198,2,000.0015451361
1440609336203,2,000.0015451361
1440609336208,2,000.0013539973
1440609336213,2,000.0024104058
1440609336218,2,000.0025356233
1440609336223,2,000.0025928270
1440609336228,2,000.0012797385
1440609336233,2,000.0014583124
1440609336238,2,000.0027335812
1440609336243,2,000.0018696843
1440609336248,2,000.0017895119
1440609336253,2,000.0013419061
1440609336258,2,000.0025802248
1440609336263,2,000.0016571073
1440609336268,2,000.0023138081
1440609336273,2,000.0012924114
1440609336278,2,000.0014470932
1440609336283,2,000.0019381666
1440609336288,2,000.0008514897
1440609336293,2,000.0012277401
1440609336298,2,000.0017803810
1440609336303,2,000.0022056210
1440609336308,2,000.0017895119
1440609336313,2,000.0003718890
1440609336318,2,000.0011594672
1440609336323,2,000.0010251817
1440609336328,2,000.0018166292
1440609336333,2,000.0014470932
1440609336338,2,000.0018956551
1440609336343,2,000.0013419061
1440609336348,2,000.0029181412
1440609336353,2,000.0018344847
1440609336359,2,000.0030758479
1440609336364,2,000.0010251817
1440609336369,2,000.0012277401
1440609336374,2,000.0019549122
1440609336378,2,000.0018696843
1440609336383,2,000.0018166292
1440609336388,2,000.0015023516
1440609336393,2,000.0012924114
1440609336398,2,000.0018956551
1440609336403,2,000.0008704200
1440609336408,2,000.0022056210
1440609336413,2,000.0028900807
1440609336418,2,000.0018696843
1440609336423,2,000.0027573269
1440609336428,2,000.0010251817
1440609336433,2,000.0022056210
1440609336438,2,000.0027276126
1440609336443,2,000.0013539973
1440609336448,2,000.0013419061
1440609336453,2,000.0014470932
1440609336458,2,000.0008514897
1440609336463,2,000.0015451361
1440609336468,2,000.0026178497
1440609336473,2,000.0029679816
1440609336478,2,000.0013419061
1440609336483,2,000.0023968446
1440609336488,2,000.0013419061
1440609336493,2,000.0008514897
1440609336498,2,000.0019549122
1440609336503,2,000.0013539973
1440609336508,2,000.0013539973
1440609336513,2,000.0008704200
1440609336518,2,000.0013539973
1440609336523,2,000.0012924114
1440609336528,2,000.0016472427
1440609336533,2,000.0015660900
1440609336538,2,000.0012277401
1440609336543,2,000.0027216307
1440609336548,2,000.0026671910
1440609336553,2,000.0012277401
1440609336558,2,000.0024036346
1440609336563,2,000.0011594672
1440609336568,2,000.0012277401
